Year,Data,Value
1930,CRU_Global_Anomaly,-0.6
1931,CRU_Global_Anomaly,-0.57
1932,CRU_Global_Anomaly,-0.56
1933,CRU_Global_Anomaly,-0.81
1934,CRU_Global_Anomaly,-0.49
1935,CRU_Global_Anomaly,-0.64
1936,CRU_Global_Anomaly,-0.59
1937,CRU_Global_Anomaly,-0.52
1938,CRU_Global_Anomaly,-0.31
1939,CRU_Global_Anomaly,-0.48
1940,CRU_Global_Anomaly,-0.52
1941,CRU_Global_Anomaly,-0.53
1942,CRU_Global_Anomaly,-0.53
1943,CRU_Global_Anomaly,-0.46
1944,CRU_Global_Anomaly,-0.37
1945,CRU_Global_Anomaly,-0.59
1946,CRU_Global_Anomaly,-0.55
1947,CRU_Global_Anomaly,-0.48
1948,CRU_Global_Anomaly,-0.47
1949,CRU_Global_Anomaly,-0.59
1950,CRU_Global_Anomaly,-0.79
1951,CRU_Global_Anomaly,-0.58
1952,CRU_Global_Anomaly,-0.53
1953,CRU_Global_Anomaly,-0.34
1954,CRU_Global_Anomaly,-0.63
1955,CRU_Global_Anomaly,-0.66
1956,CRU_Global_Anomaly,-0.91
1957,CRU_Global_Anomaly,-0.55
1958,CRU_Global_Anomaly,-0.42
1959,CRU_Global_Anomaly,-0.45
1960,CRU_Global_Anomaly,-0.55
1961,CRU_Global_Anomaly,-0.43
1962,CRU_Global_Anomaly,-0.45
1963,CRU_Global_Anomaly,-0.45
1964,CRU_Global_Anomaly,-0.77
1965,CRU_Global_Anomaly,-0.71
1966,CRU_Global_Anomaly,-0.62
1967,CRU_Global_Anomaly,-0.57
1968,CRU_Global_Anomaly,-0.69
1969,CRU_Global_Anomaly,-0.6
1970,CRU_Global_Anomaly,-0.53
1971,CRU_Global_Anomaly,-0.68
1972,CRU_Global_Anomaly,-0.71
1973,CRU_Global_Anomaly,-0.33
1974,CRU_Global_Anomaly,-0.76
1975,CRU_Global_Anomaly,-0.53
1976,CRU_Global_Anomaly,-0.83
1977,CRU_Global_Anomaly,-0.39
1978,CRU_Global_Anomaly,-0.53
1979,CRU_Global_Anomaly,-0.44
1980,CRU_Global_Anomaly,-0.34
1981,CRU_Global_Anomaly,-0.16
1982,CRU_Global_Anomaly,-0.48
1983,CRU_Global_Anomaly,-0.15
1984,CRU_Global_Anomaly,-0.52
1985,CRU_Global_Anomaly,-0.51
1986,CRU_Global_Anomaly,-0.36
1987,CRU_Global_Anomaly,-0.22
1988,CRU_Global_Anomaly,-0.1
1989,CRU_Global_Anomaly,-0.23
1990,CRU_Global_Anomaly,0.02
1991,CRU_Global_Anomaly,-0.07
1992,CRU_Global_Anomaly,-0.38
1993,CRU_Global_Anomaly,-0.3
1994,CRU_Global_Anomaly,-0.12
1995,CRU_Global_Anomaly,0.11
1996,CRU_Global_Anomaly,-0.24
1997,CRU_Global_Anomaly,0.04
1998,CRU_Global_Anomaly,0.37
1999,CRU_Global_Anomaly,0.1
2000,CRU_Global_Anomaly,0.01
2001,CRU_Global_Anomaly,0.21
2002,CRU_Global_Anomaly,0.3
2003,CRU_Global_Anomaly,0.3
2004,CRU_Global_Anomaly,0.2
2005,CRU_Global_Anomaly,0.41
2006,CRU_Global_Anomaly,0.36
2007,CRU_Global_Anomaly,0.45
2008,CRU_Global_Anomaly,0.23
2009,CRU_Global_Anomaly,0.28
2010,CRU_Global_Anomaly,0.44
2011,CRU_Global_Anomaly,0.25
2012,CRU_Global_Anomaly,0.3
2013,CRU_Global_Anomaly,0.31
1911,CRU_Global_Anom_5yr_av,-0.89
1912,CRU_Global_Anom_5yr_av,-0.82
1913,CRU_Global_Anom_5yr_av,-0.77
1914,CRU_Global_Anom_5yr_av,-0.76
1915,CRU_Global_Anom_5yr_av,-0.81
1916,CRU_Global_Anom_5yr_av,-0.82
1917,CRU_Global_Anom_5yr_av,-0.87
1918,CRU_Global_Anom_5yr_av,-0.9
1919,CRU_Global_Anom_5yr_av,-0.84
1920,CRU_Global_Anom_5yr_av,-0.75
1921,CRU_Global_Anom_5yr_av,-0.72
1922,CRU_Global_Anom_5yr_av,-0.73
1923,CRU_Global_Anom_5yr_av,-0.72
1924,CRU_Global_Anom_5yr_av,-0.71
1925,CRU_Global_Anom_5yr_av,-0.71
1926,CRU_Global_Anom_5yr_av,-0.69
1927,CRU_Global_Anom_5yr_av,-0.72
1928,CRU_Global_Anom_5yr_av,-0.7
1929,CRU_Global_Anom_5yr_av,-0.7
1930,CRU_Global_Anom_5yr_av,-0.67
1931,CRU_Global_Anom_5yr_av,-0.7
1932,CRU_Global_Anom_5yr_av,-0.61
1933,CRU_Global_Anom_5yr_av,-0.61
1934,CRU_Global_Anom_5yr_av,-0.62
1935,CRU_Global_Anom_5yr_av,-0.61
1936,CRU_Global_Anom_5yr_av,-0.51
1937,CRU_Global_Anom_5yr_av,-0.51
1938,CRU_Global_Anom_5yr_av,-0.48
1939,CRU_Global_Anom_5yr_av,-0.47
1940,CRU_Global_Anom_5yr_av,-0.47
1941,CRU_Global_Anom_5yr_av,-0.5
1942,CRU_Global_Anom_5yr_av,-0.48
1943,CRU_Global_Anom_5yr_av,-0.5
1944,CRU_Global_Anom_5yr_av,-0.5
1945,CRU_Global_Anom_5yr_av,-0.49
1946,CRU_Global_Anom_5yr_av,-0.49
1947,CRU_Global_Anom_5yr_av,-0.54
1948,CRU_Global_Anom_5yr_av,-0.58
1949,CRU_Global_Anom_5yr_av,-0.58
1950,CRU_Global_Anom_5yr_av,-0.59
1951,CRU_Global_Anom_5yr_av,-0.57
1952,CRU_Global_Anom_5yr_av,-0.57
1953,CRU_Global_Anom_5yr_av,-0.55
1954,CRU_Global_Anom_5yr_av,-0.61
1955,CRU_Global_Anom_5yr_av,-0.62
1956,CRU_Global_Anom_5yr_av,-0.63
1957,CRU_Global_Anom_5yr_av,-0.6
1958,CRU_Global_Anom_5yr_av,-0.58
1959,CRU_Global_Anom_5yr_av,-0.48
1960,CRU_Global_Anom_5yr_av,-0.46
1961,CRU_Global_Anom_5yr_av,-0.47
1962,CRU_Global_Anom_5yr_av,-0.53
1963,CRU_Global_Anom_5yr_av,-0.56
1964,CRU_Global_Anom_5yr_av,-0.6
1965,CRU_Global_Anom_5yr_av,-0.62
1966,CRU_Global_Anom_5yr_av,-0.67
1967,CRU_Global_Anom_5yr_av,-0.64
1968,CRU_Global_Anom_5yr_av,-0.6
1969,CRU_Global_Anom_5yr_av,-0.61
1970,CRU_Global_Anom_5yr_av,-0.64
1971,CRU_Global_Anom_5yr_av,-0.57
1972,CRU_Global_Anom_5yr_av,-0.6
1973,CRU_Global_Anom_5yr_av,-0.6
1974,CRU_Global_Anom_5yr_av,-0.63
1975,CRU_Global_Anom_5yr_av,-0.57
1976,CRU_Global_Anom_5yr_av,-0.61
1977,CRU_Global_Anom_5yr_av,-0.54
1978,CRU_Global_Anom_5yr_av,-0.51
1979,CRU_Global_Anom_5yr_av,-0.37
1980,CRU_Global_Anom_5yr_av,-0.39
1981,CRU_Global_Anom_5yr_av,-0.31
1982,CRU_Global_Anom_5yr_av,-0.33
1983,CRU_Global_Anom_5yr_av,-0.36
1984,CRU_Global_Anom_5yr_av,-0.4
1985,CRU_Global_Anom_5yr_av,-0.35
1986,CRU_Global_Anom_5yr_av,-0.34
1987,CRU_Global_Anom_5yr_av,-0.28
1988,CRU_Global_Anom_5yr_av,-0.18
1989,CRU_Global_Anom_5yr_av,-0.12
1990,CRU_Global_Anom_5yr_av,-0.15
1991,CRU_Global_Anom_5yr_av,-0.19
1992,CRU_Global_Anom_5yr_av,-0.17
1993,CRU_Global_Anom_5yr_av,-0.15
1994,CRU_Global_Anom_5yr_av,-0.19
1995,CRU_Global_Anom_5yr_av,-0.1
1996,CRU_Global_Anom_5yr_av,0.03
1997,CRU_Global_Anom_5yr_av,0.08
1998,CRU_Global_Anom_5yr_av,0.06
1999,CRU_Global_Anom_5yr_av,0.15
2000,CRU_Global_Anom_5yr_av,0.2
2001,CRU_Global_Anom_5yr_av,0.18
2002,CRU_Global_Anom_5yr_av,0.2
2003,CRU_Global_Anom_5yr_av,0.28
2004,CRU_Global_Anom_5yr_av,0.31
2005,CRU_Global_Anom_5yr_av,0.34
2006,CRU_Global_Anom_5yr_av,0.33
2007,CRU_Global_Anom_5yr_av,0.35
2008,CRU_Global_Anom_5yr_av,0.35
2009,CRU_Global_Anom_5yr_av,0.33
2010,CRU_Global_Anom_5yr_av,0.3
2011,CRU_Global_Anom_5yr_av,0.32
1911,New_Zealand_anom_5yr_av,-0.67
1912,New_Zealand_anom_5yr_av,-0.83
1913,New_Zealand_anom_5yr_av,-0.94
1914,New_Zealand_anom_5yr_av,-0.73
1915,New_Zealand_anom_5yr_av,-0.43
1916,New_Zealand_anom_5yr_av,-0.39
1917,New_Zealand_anom_5yr_av,-0.42
1918,New_Zealand_anom_5yr_av,-0.5
1919,New_Zealand_anom_5yr_av,-0.73
1920,New_Zealand_anom_5yr_av,-0.89
1921,New_Zealand_anom_5yr_av,-0.88
1922,New_Zealand_anom_5yr_av,-0.6
1923,New_Zealand_anom_5yr_av,-0.59
1924,New_Zealand_anom_5yr_av,-0.6
1925,New_Zealand_anom_5yr_av,-0.68
1926,New_Zealand_anom_5yr_av,-0.51
1927,New_Zealand_anom_5yr_av,-0.68
1928,New_Zealand_anom_5yr_av,-0.75
1929,New_Zealand_anom_5yr_av,-0.82
1930,New_Zealand_anom_5yr_av,-0.82
1931,New_Zealand_anom_5yr_av,-0.95
1932,New_Zealand_anom_5yr_av,-0.88
1933,New_Zealand_anom_5yr_av,-0.64
1934,New_Zealand_anom_5yr_av,-0.55
1935,New_Zealand_anom_5yr_av,-0.54
1936,New_Zealand_anom_5yr_av,-0.38
1937,New_Zealand_anom_5yr_av,-0.45
1938,New_Zealand_anom_5yr_av,-0.59
1939,New_Zealand_anom_5yr_av,-0.62
1940,New_Zealand_anom_5yr_av,-0.55
1941,New_Zealand_anom_5yr_av,-0.77
1942,New_Zealand_anom_5yr_av,-0.8
1943,New_Zealand_anom_5yr_av,-0.84
1944,New_Zealand_anom_5yr_av,-0.83
1945,New_Zealand_anom_5yr_av,-0.82
1946,New_Zealand_anom_5yr_av,-0.72
1947,New_Zealand_anom_5yr_av,-0.67
1948,New_Zealand_anom_5yr_av,-0.55
1949,New_Zealand_anom_5yr_av,-0.55
1950,New_Zealand_anom_5yr_av,-0.54
1951,New_Zealand_anom_5yr_av,-0.58
1952,New_Zealand_anom_5yr_av,-0.47
1953,New_Zealand_anom_5yr_av,-0.33
1954,New_Zealand_anom_5yr_av,-0.11
1955,New_Zealand_anom_5yr_av,-0.04
1956,New_Zealand_anom_5yr_av,0.02
1957,New_Zealand_anom_5yr_av,-0.07
1958,New_Zealand_anom_5yr_av,-0.17
1959,New_Zealand_anom_5yr_av,-0.3
1960,New_Zealand_anom_5yr_av,-0.21
1961,New_Zealand_anom_5yr_av,-0.3
1962,New_Zealand_anom_5yr_av,-0.32
1963,New_Zealand_anom_5yr_av,-0.4
1964,New_Zealand_anom_5yr_av,-0.43
1965,New_Zealand_anom_5yr_av,-0.55
1966,New_Zealand_anom_5yr_av,-0.5
1967,New_Zealand_anom_5yr_av,-0.47
1968,New_Zealand_anom_5yr_av,-0.27
1969,New_Zealand_anom_5yr_av,-0.08
1970,New_Zealand_anom_5yr_av,-0.09
1971,New_Zealand_anom_5yr_av,0.01
1972,New_Zealand_anom_5yr_av,0.12
1973,New_Zealand_anom_5yr_av,0.07
1974,New_Zealand_anom_5yr_av,-0.21
1975,New_Zealand_anom_5yr_av,-0.3
1976,New_Zealand_anom_5yr_av,-0.28
1977,New_Zealand_anom_5yr_av,-0.31
1978,New_Zealand_anom_5yr_av,-0.38
1979,New_Zealand_anom_5yr_av,-0.16
1980,New_Zealand_anom_5yr_av,-0.09
1981,New_Zealand_anom_5yr_av,-0.25
1982,New_Zealand_anom_5yr_av,-0.22
1983,New_Zealand_anom_5yr_av,-0.1
1984,New_Zealand_anom_5yr_av,-0.14
1985,New_Zealand_anom_5yr_av,-0.01
1986,New_Zealand_anom_5yr_av,0.17
1987,New_Zealand_anom_5yr_av,0.23
1988,New_Zealand_anom_5yr_av,0.25
1989,New_Zealand_anom_5yr_av,0.16
1990,New_Zealand_anom_5yr_av,-0.1
1991,New_Zealand_anom_5yr_av,-0.32
1992,New_Zealand_anom_5yr_av,-0.45
1993,New_Zealand_anom_5yr_av,-0.53
1994,New_Zealand_anom_5yr_av,-0.47
1995,New_Zealand_anom_5yr_av,-0.31
1996,New_Zealand_anom_5yr_av,0
1997,New_Zealand_anom_5yr_av,0.21
1998,New_Zealand_anom_5yr_av,0.25
1999,New_Zealand_anom_5yr_av,0.34
2000,New_Zealand_anom_5yr_av,0.41
2001,New_Zealand_anom_5yr_av,0.26
2002,New_Zealand_anom_5yr_av,0.02
2003,New_Zealand_anom_5yr_av,0.08
2004,New_Zealand_anom_5yr_av,-0.02
2005,New_Zealand_anom_5yr_av,-0.02
2006,New_Zealand_anom_5yr_av,0.03
2007,New_Zealand_anom_5yr_av,0.06
2008,New_Zealand_anom_5yr_av,0.05
2009,New_Zealand_anom_5yr_av,0.13
2010,New_Zealand_anom_5yr_av,0.09
2011,New_Zealand_anom_5yr_av,0.19
1911,GISS_Global_ Anom_5yr_av,-0.87
1912,GISS_Global_ Anom_5yr_av,-0.81
1913,GISS_Global_ Anom_5yr_av,-0.76
1914,GISS_Global_ Anom_5yr_av,-0.75
1915,GISS_Global_ Anom_5yr_av,-0.78
1916,GISS_Global_ Anom_5yr_av,-0.79
1917,GISS_Global_ Anom_5yr_av,-0.8
1918,GISS_Global_ Anom_5yr_av,-0.84
1919,GISS_Global_ Anom_5yr_av,-0.81
1920,GISS_Global_ Anom_5yr_av,-0.75
1921,GISS_Global_ Anom_5yr_av,-0.71
1922,GISS_Global_ Anom_5yr_av,-0.72
1923,GISS_Global_ Anom_5yr_av,-0.71
1924,GISS_Global_ Anom_5yr_av,-0.68
1925,GISS_Global_ Anom_5yr_av,-0.68
1926,GISS_Global_ Anom_5yr_av,-0.66
1927,GISS_Global_ Anom_5yr_av,-0.68
1928,GISS_Global_ Anom_5yr_av,-0.67
1929,GISS_Global_ Anom_5yr_av,-0.68
1930,GISS_Global_ Anom_5yr_av,-0.67
1931,GISS_Global_ Anom_5yr_av,-0.71
1932,GISS_Global_ Anom_5yr_av,-0.67
1933,GISS_Global_ Anom_5yr_av,-0.68
1934,GISS_Global_ Anom_5yr_av,-0.69
1935,GISS_Global_ Anom_5yr_av,-0.66
1936,GISS_Global_ Anom_5yr_av,-0.59
1937,GISS_Global_ Anom_5yr_av,-0.59
1938,GISS_Global_ Anom_5yr_av,-0.54
1939,GISS_Global_ Anom_5yr_av,-0.51
1940,GISS_Global_ Anom_5yr_av,-0.5
1941,GISS_Global_ Anom_5yr_av,-0.52
1942,GISS_Global_ Anom_5yr_av,-0.48
1943,GISS_Global_ Anom_5yr_av,-0.51
1944,GISS_Global_ Anom_5yr_av,-0.54
1945,GISS_Global_ Anom_5yr_av,-0.53
1946,GISS_Global_ Anom_5yr_av,-0.55
1947,GISS_Global_ Anom_5yr_av,-0.58
1948,GISS_Global_ Anom_5yr_av,-0.61
1949,GISS_Global_ Anom_5yr_av,-0.6
1950,GISS_Global_ Anom_5yr_av,-0.62
1951,GISS_Global_ Anom_5yr_av,-0.59
1952,GISS_Global_ Anom_5yr_av,-0.59
1953,GISS_Global_ Anom_5yr_av,-0.57
1954,GISS_Global_ Anom_5yr_av,-0.6
1955,GISS_Global_ Anom_5yr_av,-0.6
1956,GISS_Global_ Anom_5yr_av,-0.6
1957,GISS_Global_ Anom_5yr_av,-0.56
1958,GISS_Global_ Anom_5yr_av,-0.55
1959,GISS_Global_ Anom_5yr_av,-0.49
1960,GISS_Global_ Anom_5yr_av,-0.49
1961,GISS_Global_ Anom_5yr_av,-0.5
1962,GISS_Global_ Anom_5yr_av,-0.55
1963,GISS_Global_ Anom_5yr_av,-0.58
1964,GISS_Global_ Anom_5yr_av,-0.61
1965,GISS_Global_ Anom_5yr_av,-0.61
1966,GISS_Global_ Anom_5yr_av,-0.63
1967,GISS_Global_ Anom_5yr_av,-0.57
1968,GISS_Global_ Anom_5yr_av,-0.53
1969,GISS_Global_ Anom_5yr_av,-0.53
1970,GISS_Global_ Anom_5yr_av,-0.53
1971,GISS_Global_ Anom_5yr_av,-0.47
1972,GISS_Global_ Anom_5yr_av,-0.49
1973,GISS_Global_ Anom_5yr_av,-0.5
1974,GISS_Global_ Anom_5yr_av,-0.53
1975,GISS_Global_ Anom_5yr_av,-0.48
1976,GISS_Global_ Anom_5yr_av,-0.5
1977,GISS_Global_ Anom_5yr_av,-0.46
1978,GISS_Global_ Anom_5yr_av,-0.4
1979,GISS_Global_ Anom_5yr_av,-0.27
1980,GISS_Global_ Anom_5yr_av,-0.29
1981,GISS_Global_ Anom_5yr_av,-0.24
1982,GISS_Global_ Anom_5yr_av,-0.23
1983,GISS_Global_ Anom_5yr_av,-0.26
1984,GISS_Global_ Anom_5yr_av,-0.3
1985,GISS_Global_ Anom_5yr_av,-0.25
1986,GISS_Global_ Anom_5yr_av,-0.23
1987,GISS_Global_ Anom_5yr_av,-0.2
1988,GISS_Global_ Anom_5yr_av,-0.13
1989,GISS_Global_ Anom_5yr_av,-0.08
1990,GISS_Global_ Anom_5yr_av,-0.11
1991,GISS_Global_ Anom_5yr_av,-0.16
1992,GISS_Global_ Anom_5yr_av,-0.15
1993,GISS_Global_ Anom_5yr_av,-0.14
1994,GISS_Global_ Anom_5yr_av,-0.15
1995,GISS_Global_ Anom_5yr_av,-0.09
1996,GISS_Global_ Anom_5yr_av,0.02
1997,GISS_Global_ Anom_5yr_av,0.06
1998,GISS_Global_ Anom_5yr_av,0.07
1999,GISS_Global_ Anom_5yr_av,0.11
2000,GISS_Global_ Anom_5yr_av,0.16
2001,GISS_Global_ Anom_5yr_av,0.14
2002,GISS_Global_ Anom_5yr_av,0.16
2003,GISS_Global_ Anom_5yr_av,0.22
2004,GISS_Global_ Anom_5yr_av,0.24
2005,GISS_Global_ Anom_5yr_av,0.25
2006,GISS_Global_ Anom_5yr_av,0.23
2007,GISS_Global_ Anom_5yr_av,0.25
2008,GISS_Global_ Anom_5yr_av,0.26
2009,GISS_Global_ Anom_5yr_av,0.26
2010,GISS_Global_ Anom_5yr_av,0.25
2011,GISS_Global_ Anom_5yr_av,0.28
1911,NCDC_Global_Anom_5yr_av,-1.05
1912,NCDC_Global_Anom_5yr_av,-0.99
1913,NCDC_Global_Anom_5yr_av,-0.93
1914,NCDC_Global_Anom_5yr_av,-0.92
1915,NCDC_Global_Anom_5yr_av,-0.92
1916,NCDC_Global_Anom_5yr_av,-0.92
1917,NCDC_Global_Anom_5yr_av,-0.97
1918,NCDC_Global_Anom_5yr_av,-1.02
1919,NCDC_Global_Anom_5yr_av,-0.96
1920,NCDC_Global_Anom_5yr_av,-0.9
1921,NCDC_Global_Anom_5yr_av,-0.88
1922,NCDC_Global_Anom_5yr_av,-0.87
1923,NCDC_Global_Anom_5yr_av,-0.83
1924,NCDC_Global_Anom_5yr_av,-0.82
1925,NCDC_Global_Anom_5yr_av,-0.8
1926,NCDC_Global_Anom_5yr_av,-0.78
1927,NCDC_Global_Anom_5yr_av,-0.81
1928,NCDC_Global_Anom_5yr_av,-0.8
1929,NCDC_Global_Anom_5yr_av,-0.81
1930,NCDC_Global_Anom_5yr_av,-0.78
1931,NCDC_Global_Anom_5yr_av,-0.82
1932,NCDC_Global_Anom_5yr_av,-0.75
1933,NCDC_Global_Anom_5yr_av,-0.76
1934,NCDC_Global_Anom_5yr_av,-0.77
1935,NCDC_Global_Anom_5yr_av,-0.77
1936,NCDC_Global_Anom_5yr_av,-0.66
1937,NCDC_Global_Anom_5yr_av,-0.63
1938,NCDC_Global_Anom_5yr_av,-0.59
1939,NCDC_Global_Anom_5yr_av,-0.55
1940,NCDC_Global_Anom_5yr_av,-0.53
1941,NCDC_Global_Anom_5yr_av,-0.55
1942,NCDC_Global_Anom_5yr_av,-0.54
1943,NCDC_Global_Anom_5yr_av,-0.57
1944,NCDC_Global_Anom_5yr_av,-0.59
1945,NCDC_Global_Anom_5yr_av,-0.59
1946,NCDC_Global_Anom_5yr_av,-0.6
1947,NCDC_Global_Anom_5yr_av,-0.65
1948,NCDC_Global_Anom_5yr_av,-0.7
1949,NCDC_Global_Anom_5yr_av,-0.71
1950,NCDC_Global_Anom_5yr_av,-0.74
1951,NCDC_Global_Anom_5yr_av,-0.71
1952,NCDC_Global_Anom_5yr_av,-0.73
1953,NCDC_Global_Anom_5yr_av,-0.69
1954,NCDC_Global_Anom_5yr_av,-0.75
1955,NCDC_Global_Anom_5yr_av,-0.75
1956,NCDC_Global_Anom_5yr_av,-0.76
1957,NCDC_Global_Anom_5yr_av,-0.71
1958,NCDC_Global_Anom_5yr_av,-0.7
1959,NCDC_Global_Anom_5yr_av,-0.59
1960,NCDC_Global_Anom_5yr_av,-0.54
1961,NCDC_Global_Anom_5yr_av,-0.52
1962,NCDC_Global_Anom_5yr_av,-0.58
1963,NCDC_Global_Anom_5yr_av,-0.6
1964,NCDC_Global_Anom_5yr_av,-0.63
1965,NCDC_Global_Anom_5yr_av,-0.67
1966,NCDC_Global_Anom_5yr_av,-0.73
1967,NCDC_Global_Anom_5yr_av,-0.7
1968,NCDC_Global_Anom_5yr_av,-0.67
1969,NCDC_Global_Anom_5yr_av,-0.66
1970,NCDC_Global_Anom_5yr_av,-0.7
1971,NCDC_Global_Anom_5yr_av,-0.62
1972,NCDC_Global_Anom_5yr_av,-0.64
1973,NCDC_Global_Anom_5yr_av,-0.62
1974,NCDC_Global_Anom_5yr_av,-0.66
1975,NCDC_Global_Anom_5yr_av,-0.59
1976,NCDC_Global_Anom_5yr_av,-0.63
2001,NCDC_Global_Anom_5yr_av,0.19
2002,NCDC_Global_Anom_5yr_av,0.19
2003,NCDC_Global_Anom_5yr_av,0.27
2004,NCDC_Global_Anom_5yr_av,0.29
2005,NCDC_Global_Anom_5yr_av,0.32
2006,NCDC_Global_Anom_5yr_av,0.32
2007,NCDC_Global_Anom_5yr_av,0.33
2008,NCDC_Global_Anom_5yr_av,0.33
2009,NCDC_Global_Anom_5yr_av,0.33
2010,NCDC_Global_Anom_5yr_av,0.29
2011,NCDC_Global_Anom_5yr_av,0.32
